what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406869283554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406869285238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406869285269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406869288926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406869293120
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1406869297121
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1406869297172
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1406869297274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406869331100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1406869331146
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1406869334428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406869334719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406869350632
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1406869353337
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1406869354402
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1406869354409
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1406869354482
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1406869354931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406869358470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406869478352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406869540747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406870045787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406870045925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406870047068
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1406870047170
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406870047235
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1406870047361
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1406870047361
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.182,"com.altera.debug.cdi.gdb.plugin",1406870047361
stopped,bundle,com.altera.sbtgui.launch,13.1.0.182,"com.altera.sbtgui.launch",1406870047361
stopped,bundle,com.altera.sbtgui.ui,13.1.0.182,"com.altera.sbtgui.ui",1406870047362
stopped,bundle,com.altera.sbtgui.project,13.1.0.182,"com.altera.sbtgui.project",1406870047362
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1406870047362
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1406870047362
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1406870047362
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1406870047362
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1406870047363
stopped,bundle,com.altera.sbt4e.launch,13.1.0.182,"com.altera.sbt4e.launch",1406870047363
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1406870047364
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1406870047364
